Resource Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling	FAIR Issues	FAIR Score
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/XiaoliNolan/GSGLMTL	XiaoliNolan	XiaoliNolan	MATLAB					No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec	2
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/acw-upv/INTERSPEECH2023_AlzheimersDisease	acw-upv	LuciaGomZa; ASAPLableni	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/ai-med/causal-effects-in-alzheimers-continuum	ai-med	sebp	Jupyter Notebook					No Version Info; No Environment Spec	8
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/JaeyoonSSim/GTAD	JaeyoonSSim	JaeyoonSSim	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/PierreBSC/DOL_project	PierreBSC	PierreBSC	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/robertfhillary/gwas_ewas_AD_plasma_biomarkers	robertfhillary	robertfhillary	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/BorgwardtLab/ADNI_3DCNNvsTDA	BorgwardtLab	sbrueningk	Python					No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec	2
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/vendruscolo-lab/ab42-kinetic-ensemble	vendruscolo-lab	tlhr	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/flaviodipalo/AlzheimerDetection	flaviodipalo	flaviodipalo	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/gaow/neuro-twas	gaow	hsun3163; gaow	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec	2
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/mlu355/PD-Motor-Severity-Estimation	mlu355	mlu355	Jupyter Notebook					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/TaatiTeam/stgcn_parkinsonism_prediction	TaatiTeam	andreasabo-ibbme	Python					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/NikhilMahadevan/analyze-tremor-bradykinesia-PD	NikhilMahadevan	nmdevan; NikhilMahadevan	Python					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/SAGI-FAU/SMA2	SAGI-FAU	jcvasquezc; AKuederle; PKlumpp; TAriasVergara; nilsroth; PauPerezT; nicanorgarcia; patientzero; cdavidrios; lfelipeparra	Java					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/NevVerVer/DBS-Gym	NevVerVer	NevVerVer; skylooop	Jupyter Notebook					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/Wang-lab-UCSD/RESP	Wang-lab-UCSD	jlparkI	Python					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/K-STMLab/SSL4PR	K-STMLab	MorenoLaQuatra	Python					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/luisf-gomez/Explorer-FE-AU-in-PD	luisf-gomez	luisf-gomez	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/david-gimeno/interpreting-ssl-parkinson-speech	david-gimeno	david-gimeno	Jupyter Notebook					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/johnPrinceOx/Multi-Source_Ensemble_Learning_Neural_Networks	johnPrinceOx	johnPrinceOx	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/zwallen/Wallen_DAMethodCompare_2021	zwallen	zwallen	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/pwh124/sc-da-parkinsons	pwh124	pwh124	HTML					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/ffaghri1/PD-progression-ML	ffaghri1	ffaghri1	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/DeepLearningForPrecisionHealthLab/Parkinson-Severity-rsfMRI	DeepLearningForPrecisionHealthLab		Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/Afreen89/Gait-analysis-for-Parkinsons	Afreen89	Afreen89	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/InfoLab-SKKU/Parkinson-Disease-Progression-Detection	InfoLab-SKKU	InfoLab-SKKU; Mjunaid00	Jupyter Notebook					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/desomeboy/Foundation-Individual-Generative-Virtual-Brain	desomeboy	desomeboy	Python					No Version Info; No Container; No Environment Spec; No Version Info; No Container; No Environment Spec	4
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/alpapado/deep_pd	alpapado	alpapado	Python					No Dependencies; No Version Info; No Container	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/nshawen/DataCharacteristics_PD	nshawen	nshawen	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/ShineLabUSYD/PD_Hallucinations	ShineLabUSYD	JoshuaBTan	MATLAB					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/lionwarriorjr/mpds	lionwarriorjr	lionwarriorjr; zad	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/Luke3D/DREAM_PD	Luke3D	Luke3D	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/voldemort18/DMD_Parkinson_disease	voldemort18	voldemort18	MATLAB					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/GNB-UAM/Kamali_et_al_ExSEnt_Extrema-segmented_Entropy_Analysis_of_Time_Series	GNB-UAM	Sara-Kamali	MATLAB					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/bardylab/RNAseq_iPSC_PD	bardylab	mvandenhurk; mzabolocki	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/RajLabMSSM/PD_omics_review	RajLabMSSM	bschilder	HTML					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/Minee-Liane-Choi/chemPredPD	Minee-Liane-Choi	Minee-Liane-Choi	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/mcampi111/EMD-Stochastic-Embedding-for-PD-Speech	mcampi111	mcampi111	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/CyclotronResearchCentre/parktdi_scripts	CyclotronResearchCentre		Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/vmasrani/dementia_classifier	vmasrani	vmasrani	Python					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/atticatto/UKB_AD_EWAS	atticatto	atticatto	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/banton/claude-dementia	banton	banton	Python					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/scottchiesa/UKB_PRS_LRS_Dementia	scottchiesa	scottchiesa	Stata					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/hl-anna/DA4AD	hl-anna	domiwk; hl-anna; alican14	Jupyter Notebook					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/drivendataorg/prepare-adrd	drivendataorg	hannahmoro	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/shayanmostafaei/Omics_ADRD_Integrated_Modeling	shayanmostafaei	shayanmostafaei	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/powerepilab/AD_algorithm_comparison	powerepilab	powerepilab; kzgianattasio	SAS					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/JuM24/hearing_dementia_UKB	JuM24	JuM24	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/palolili23/competing_risks_dementia	palolili23	palolili23	TeX					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/burkh4rt/Multimodal-Trajectory-Modeling	burkh4rt	burkh4rt	Python					No Dependencies; No Version Info	8
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/anaconda121/NeuraHealth	anaconda121	anaconda121	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/0rC0/WMHpypes	0rC0	0rC0	Python					No Version Info; No Environment Spec	8
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/UTHSCSA-NAL/SVD_Cognition_MESA	UTHSCSA-NAL	scharisis; tanweerrashid	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/Icahn-PalCare/DementiaProbabilities	Icahn-PalCare	jeremysze	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/AllenInstitute/agedbrain	AllenInstitute	jeremymiller	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/ohio813/dementia-forensics	ohio813	ohio813; aelth	C++					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/aadarshgupta1412/NEUROHACK2022_Dementia	aadarshgupta1412	NabilaRahman; maitreyeew; chengwailei; aadarshgupta1412; alawryaguila; Jordan123321; PoojaSarin	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/Coding-For-Good-UWC/Music-and-Dementia	Coding-For-Good-UWC	antoinekllee; aagrawal05; shungame65; anika213; BlackChess7531	JavaScript					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/venexia/CleanCPRD	venexia	venexia	Stata					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/pyrysipila/sipila-infections-dementia	pyrysipila	pyrysipila	Stata					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/NVFL/Markov-Chain-Model	NVFL	NVFL	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/palolili23/MESA_disparities_hypertension_dementia	palolili23	palolili23	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/panagiotakont/PhD_code_dementia_risk_depress_cardio	panagiotakont	panagiotakont	Scheme					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/AnikaO/MentiCor_FTCorpus	AnikaO	AnikaO	Groovy					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/PratikMishra/AnomalyThresholds	PratikMishra	PratikMishra; shehrozskhan	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/agenticnotetaking/arscontexta	agenticnotetaking	ltOgt; arscontexta; friedrch; oreganoflakesgit	Shell					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/yasasbanukaofficial/claude-code	yasasbanukaofficial	yasasbanukaofficial	TypeScript					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/facebookresearch/tribev2	facebookresearch	sdascoli; vgarg1603	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/codejunkie99/agentic-stack	codejunkie99	codejunkie99; mv-fs; danielfoch; aliirz; hovhannest; Siddharth11Roy; huangrichao2020; ImgBotApp; JagritGumber; mimed95	Python					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/eugeniughelbur/obsidian-second-brain	eugeniughelbur	eugeniughelbur; captainyorgen; connor-tyndall	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/alchaincyf/obsidian-ai-orange-book	alchaincyf	alchaincyf						No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/coleam00/second-brain-skills	coleam00	coleam00	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/24kchengYe/MemoMind	24kchengYe	24kchengYe; mseep-ai	Python					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/samvallad33/vestige	samvallad33	samvallad33; xsa-dev; Unforgettable-93; NoahToKnow; alecmarcus; alphaleonis; delandtj; starbuck100	Rust					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/coleam00/second-brain-starter	coleam00	coleam00						No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/memvid/claude-brain	memvid	Olow304; rafaelcalleja; codenamev	TypeScript					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/facebookresearch/brainmagick	facebookresearch	adefossez; bigfootjon	Python					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/swarmclawai/swarmvault	swarmclawai	waydelyle	TypeScript					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/Rubics-Xuan/TransBTS	Rubics-Xuan	Rubics-Xuan	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/huytieu/COG-second-brain	huytieu	huytieu; gius; claude; russellpierce	Shell					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/AllenInstitute/AllenSDK	AllenInstitute	NileGraddis; aamster; tfliss; danielsf; nicain; njmei; djkapner; kschelonka; keithg-alleninstitute; JFPerkins	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/fwillett/handwritingBCI	fwillett	fwillett	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/ChilloutCharles/BrainFlowsIntoVRChat	ChilloutCharles	ChilloutCharles; redwerefox; Scapsters; RantiMess; sync1211; AtriusX; KazyEXE; sacred0; blakeblair	Python					No Version Info; No Container; No Environment Spec	7
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/KamitaniLab/DeepImageReconstruction	KamitaniLab	ShuntaroAoki; horikawa-t; shen-gh; mitsuaki; paulrdelg; SimonWaldherr	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/Adityaraj0421/naksha-studio	Adityaraj0421	Adityaraj0421	Shell					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/shannhk/llm-wikid	shannhk	shannhk	Shell					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/smixs/agent-second-brain	smixs	smixs; claude	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Cognitive behavioural therapy vs. standardised medical care for adults with Dissociative non-Epileptic Seizures: a multicentre randomised controlled trial	CODES	Dissociative Seizures; Functional Neurological Disorder	https://github.com/GMvandeVen/brain-inspired-replay	GMvandeVen	GMvandeVen	Python					No Version Info; No Container; No Environment Spec	7
