Study Name	Abbreviation	Data Modalities	Diseases Included	Sample Size	Access URL	FAIR Compliance Notes	Dataset Type	Date added to catalog
Critical Path for AD Database	CPAD	[clinical] Aggregated clinical trial data; Control arm data; Placebo response data; Standardized assessments	Alzheimer's Disease; Mild Cognitive Impairment	12,811 participants from pooled clinical trials	https://c-path.org/programs/cpad/	Strong FAIR compliance with pooled clinical trial control data	Multi-study	December 2025
Dementia Research Group 10/66 Study	DRG-10/66	[clinical, longitudinal] Population-based assessments; Dementia prevalence; Incidence data; Global health	Dementia; Cognitive Impairment; Normal Aging	43,000+ participants across multiple prevalence and incidence cohorts	https://www.alz.co.uk/1066/	Excellent FAIR compliance with low/middle-income country dementia data	Multi-study	December 2025
Scottish Medical Imaging Research Dataset	SMI	[clinical, imaging, longitudinal] Medical imaging repository; MRI; PET; CT; Linked health records	Multiple conditions including neurodegenerative diseases	999,999 participants	https://www.isdscotland.org/	Strong FAIR compliance with national imaging repository	Human	December 2025
The Airwave Health Monitoring Study	Airwave	[clinical, longitudinal, genetics] Occupational cohort; Clinical assessments; Quality of life; Environmental exposures	Multiple health conditions; Aging; Cognitive function	55,000 participants	https://www.police-health.org.uk/	Excellent FAIR compliance with police force occupational health study	Human	December 2025
The Caerphilly Prospective Study	CaPS	[clinical, longitudinal] Population cohort; Cardiovascular risk; Cognitive function; Quality of life	Cardiovascular Disease; Dementia; Aging	2,959 participants	https://www.bristol.ac.uk/population-health-sciences/projects/caerphilly/	Good FAIR compliance with long-term Welsh population study	Human	December 2025
KBASE Reference iPSC Line	KBASE-iPSC	[transcriptomics, genetics] Reference iPSC line; WGS; RNA-seq; Quality control data; Collaborative resource	Reference cell line for neurodegenerative disease modeling	8 donor lines	https://www.alzheimersdata.org/	Strong FAIR compliance with standardized reference cell line resource	Biosample	December 2025
Blood-based microRNA Biomarkers GSE46579	GSE46579	[transcriptomics] Blood microRNA profiling; Biomarker discovery; Expression data	Alzheimer's Disease; Normal Controls	70 participants	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46579	Good FAIR compliance with GEO data sharing standards	Biosample	December 2025
Autoantibody Biomarkers GSE74763	GSE74763	[proteomics] Blood-based autoantibodies; Proteomics profiling; Disease progression markers	Alzheimer's Disease; Mild Cognitive Impairment	100 participants	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74763	Good FAIR compliance with proteomics biomarker data	Biosample	December 2025
CSF Proteomic Subtypes in AD	CSF-Subtypes	[proteomics] CSF proteomics; Disease subtypes; Molecular profiling	Alzheimer's Disease subtypes	606 participants	https://www.alzheimersdata.org/	Strong FAIR compliance with molecular subtyping data	Biosample	December 2025
MexCog 10/66 Harmonized Dataset	MexCog	[clinical, longitudinal] Cognitive assessments; Mexican population; Harmonized data; Epidemiology	Dementia; Cognitive Impairment; Normal Aging	2,265 participants	https://www.alzheimersdata.org/	Good FAIR compliance with harmonized Latin American cohort data	Human	December 2025
Moorfields Eye Hospital Dementia Dataset	AlzEye	[clinical, imaging] Retinal imaging; Electronic health records; Dementia screening; Ophthalmology data	Dementia; Eye diseases; Aging	13,000 participants	https://www.moorfields.nhs.uk/	Strong FAIR compliance with large-scale retinal imaging and dementia linkage	Human	December 2025
RNA-seq of Alzheimer's Patients GSE53697	GSE53697	[transcriptomics] Brain tissue RNA-seq; Gene expression; Molecular pathways	Alzheimer's Disease; Normal Controls	17 participants	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53697	Good FAIR compliance with brain transcriptomics data	Biosample	December 2025
Single-cell RNA-seq Early-onset AD	scRNA-EOAD	[transcriptomics] Single-cell transcriptomics; Brain tissue; Cell type profiling	Early-onset Alzheimer's Disease; Controls	16 participants	https://www.alzheimersdata.org/	Strong FAIR compliance with single-cell resolution data	Biosample	December 2025
TDP-43 ALS/FTD Multi-omics	TDP43-Omics	[transcriptomics, genetics, proteomics] WGS; RNA-seq; Proteomics; Mis-splicing analysis	ALS; Frontotemporal Dementia with TDP-43	15 participants	https://www.alzheimersdata.org/	Strong FAIR compliance with multi-omics disease mechanism data	Biosample	December 2025
C9orf72 FTD RNA-seq	C9orf72-RNA	[transcriptomics] Whole blood RNA-seq; C9orf72 expansion carriers; Gene expression	Frontotemporal Dementia; C9orf72-related ALS/FTD	114 participants	https://www.alzheimersdata.org/	Good FAIR compliance with genetic FTD transcriptomics	Biosample	December 2025
The SleepQuest Dataset	SleepQuest	[clinical, genetics, imaging] Sleep studies; MRI; Genomics; Quality of life; Cognitive assessments	Sleep disorders; Cognitive function; Aging	100 participants	https://www.alzheimersdata.org/	Good FAIR compliance with sleep-cognition focused data	Human	December 2025
Lilly Gamma-secretase Inhibitor Trials	LY450139	[clinical] Clinical trial data; Semagacestat trials; Multiple phase studies; Safety and efficacy	Alzheimer's Disease	3,648 participants across multiple trials	https://www.alzheimersdata.org/	Good FAIR compliance with aggregated clinical trial data sharing	Multi-study	December 2025
Alzheimer's Disease Neuroimaging Initiative	ADNI	[clinical, genetics, imaging] ASL; Blood biomarkers; CSF biomarkers; Clinical assessments; Cognitive testing; DTI; FDG-PET; FLAIR; Florbetapir-PET; Genomics; Military service history; MRI (1.5T/3T); Neuropsychological testing; Plasma biomarkers; rs-fMRI; Tau-PET (AV-1451); T2*	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	5,018 participants across ADNI-1, ADNI-GO, ADNI-2, ADNI-3, and ADNI-DOD	https://adni.loni.usc.edu/	Strong FAIR compliance with standardized data formats, metadata, and open data sharing across all phases	Multi-study	December 2025
Global Parkinson's Genetics Program	GP2	[clinical, genetics] Ancestry analysis; Clinical data; Exome sequencing; Family studies; Genetic analysis; Genomics; GWAS; Illumina Global Diversity Array backbone; NeuroBooster array genotyping; Population genetics; Whole genome sequencing	Atypical Parkinsonism; Controls (global populations); Early-onset Parkinson's Disease; Familial Parkinson's Disease; Parkinson's Disease; Parkinson's Plus syndromes; Prodromal Parkinson's Disease	120,00 participants currently with 250,000+ participants (planned) from global cohorts	https://gp2.org/	Excellent FAIR compliance with global data sharing through AMP-PD and emphasis on diverse populations	Multi-study	December 2025
Alzheimer's Disease Sequencing Project	ADSP	[clinical, genetics] Clinical data; Genomics; Structural variant analysis; Whole exome sequencing; Whole genome sequencing	Alzheimer's Disease	20,000 participants from multiple cohorts (ADSP-WES and ADSP-WGS)	https://www.niagads.org/adsp/content/home	Strong FAIR compliance with genomic data standards, variant calling pipelines, and harmonized phenotypes	Multi-study	December 2025
The Davos Alzheimer's Early Detection Program	DAC-SP	[clinical, longitudinal] Clinical; wearables	Alzheimer's Disease; dementia; controls	68	http://discover.alzheimersdata.org/	Good FAIR compliance with clinical data from a well-established institutional detection program, though accessibility terms are unclear and would benefit from explicit specification of data access protocols, licensing information, and standardized metadata schemas to enhance findability and interoperability across research platforms.	Human	January 2026
Dementia Platforms UK Synthetic Dataset	DPUK-synth1.0	[clinical] Synthetic	Alzheimer's Disease; dementia; controls	150,618 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA24/dpuk-synthetic-dataset	Good FAIR compliance with clear metadata documentation and clinical modality specification, though accessibility terms need clarification and interoperability could be enhanced through standardized ontologies and machine-readable formats.	Synthetic	January 2026
European Platform for Neurodegenerative Disease	EPND	[clinical, longitudinal, proteomics, imaging] Clinical; Imaging; Proteomics; Biomarker; Environmental; Other	Alzheimer's Disease; Lewy Body Dementia; Parkinson's Disease; Huntington's Disease, Amyotrohic Lateral Sclerosis	250,937 participants	https://discover.epnd.org/	Good FAIR compliance with clinical and other modality data from the EPND ATN study providing structured research information, though accessibility specifications need clarification to fully meet the Accessible principle.	Multi-study	January 2026
Digital Medicine Society Mixed Method Survey of Meaningful Aspects of Health in Alzheimer's Disease and Related Dementias	DiMe-Datacc	[clinical] Quality of Life; Clinical; wearables	Alzheimer's Disease; Dementia; Frontotemporal Dementia; Lewy Body Dementia; Mild Cognitive Impairment	1007 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clearly defined clinical quality of life measurements and structured survey methodology from a recognized digital health organization, though accessibility and data licensing terms require clarification to fully support reusability.	Human	January 2026
European Prevention of Alzheimer's Dementia Programme	EPAD	[clinical, imaging, longitudinal] Clinical; imaging; longitudinal	Alzheimer's Disease; dementia; controls	2,000 participants	https://community.addi.ad-datainitiative.org/datasets/	Good FAIR compliance with longitudinal clinical data enabling temporal analysis and the structured v500.0 versioning supporting reproducibility, though findability and accessibility would be enhanced through clearer access protocols and metadata registration in public repositories.	Multi-study	January 2026
Critical Path For Alzheimer's Disease Database	CPAD	[clinical, longitudinal] Clinical; Therapeutic	Alzheimer's Disease; dementia; controls	12811 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clinical data from the Critical Path For Alzheimer's Disease (CPAD) Database, demonstrating findability through structured disease-specific organization and potential interoperability via standardized clinical modalities, though reusability may be limited by unknown access restrictions that impact the dataset's openness and licensing clarity.	Multi-study	January 2026
A Study of Semagacestat for Alzheimer's Patients	Semagacestat	[clinical, longitudinal] Clinical; Therapeutic; Clinical trial data	Alzheimer's Disease	180 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clinical trial data that benefits from standardized medical terminology and structured patient records, though accessibility and licensing terms remain unclear which limits full reusability.	Human	January 2026
Effect of LY450139 on the Long Term Progression of Alzheimer's Disease	LY450139	[clinical, longitudinal] Clinical; Clinical trial data	Alzheimer's Disease; dementia; controls	1537 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clinical trial data structured in standardized formats and clear documentation of the LY450139 intervention and Alzheimer's progression outcomes, though Accessibility is limited by unknown access status which impacts both immediate data reusability and long-term interoperability for meta-analyses.	Human	January 2026
A Phase 2a Study to Evaluate the Effect of Rilapladib (SB-659032) on Biomarkers Related to the Pathogenesis and Progression of Alzheimer's Disease	SB-659032	[clinical, longitudinal] Clinical; Pharmacokinetics; Clinical trial data	Alzheimer's Disease	124 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clearly defined clinical and pharmacokinetic modalities and a well-structured dataset title following standard clinical trial nomenclature, though accessibility status remains undocumented which limits reusability assessment.	Human	January 2026
Modulation of Beta-amyloid Levels in CSF and Plasma by GSK933776 in Patients With Mild Alzheimer's Disease or Mild Cognitive Impairment	GSK933776	[clinical, longitudinal] Clinical; Clinical trial data	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment	19 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clearly defined clinical dataset title and modality specification, though accessibility status remains undocumented which limits the reusability principle and prevents full assessment of interoperability through available metadata standards.	Human	January 2026
A Randomised, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of the H3 Receptor Antagonist, GSK239512 in Subjects With Mild to Moderate Alzheimer's Disease.	GSK239512	[clinical, longitudinal] Clinical; Clinical trial data	Alzheimer's Disease	196 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clear dataset description and clinical modality specification, though accessibility status remains undefined which limits full reusability assessment.	Human	January 2026
An Open Label Single Oral Dose Study in Patients With Mild Alzheimer's Disease to Assess the Pharmacokinetics of Extended Release Formulation of Rosiglitazone (RSG XR) in This Population	RSG XR	[clinical, longitudinal] Clinical; Clinical trial data	Alzheimer's Disease	14 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clear dataset description and clinical modality specification, though accessibility status remains undefined which limits full reusability assessment.	Human	January 2026
An Open-label Extension to Study AVA105640, to Assess the Long-term Safety and Efficacy of Rosiglitazone (Extended Release Tablets) on Cognition in Subjects With Mild to Moderate Alzheimer's Disease.	AVA105640	[clinical, longitudinal] Clinical; Clinical trial data	Alzheimer's Disease	331 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clearly defined clinical trial dataset including structured metadata (study identifier AVA105640, intervention details, population characteristics, and outcome measures), though findability and accessibility are limited by unknown access conditions and lack of persistent identifier or repository registration information.	Human	January 2026
An Open-label Extension to Study AVA102670 and AVA102672, to Assess the Long-term Safety and Efficacy of Rosiglitazone (Extended Release Tablets) as Adjunctive Therapy on Cognition in Subjects With Mild to Moderate Alzheimer's Disease.	AVA102670-AVA102672	[clinical, longitudinal] Clinical; Clinical trial data	Alzheimer's Disease	1461 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clear structured clinical trial metadata including detailed study title, intervention specifics (rosiglitazone extended release), and well-defined patient population (mild to moderate Alzheimer's disease), though findability and accessibility are limited by unknown access status and absence of persistent identifiers or standardized data repositories.	Human	January 2026
A Randomised, Single-Blind, Placebo-Controlled Study to Investigate the Safety, Tolerability, Immunogenicity, Pharmacokinetics and Pharmacodynamics of Intravenous Infusion of GSK933776 in Patients With Alzheimer's Disease.	GSK933776	[clinical, longitudinal] Clinical; Clinical trial data	Alzheimer's Disease	50 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with structured clinical trial metadata including detailed study design, patient population, and intervention parameters that support findability and reusability, though accessibility status remains undefined and interoperability could be enhanced through standardized clinical ontologies and protocol registration identifiers.	Human	January 2026
Rosiglitazone (Extended Release Tablets) As Adjunctive Therapy For Subjects With Mild To Moderate Alzheimer's Disease	Rosiglitazone	[clinical, longitudinal, imaging, genetics] Clinical; Clinical trial data; imaging; genetics	Alzheimer's Disease	1496 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clearly defined clinical dataset title and modality specification, though accessibility status requires clarification and metadata would benefit from inclusion of persistent identifiers, detailed provenance information, and standardized ontology terms for Alzheimer's disease research to enhance findability and interoperability.	Human	January 2026
PREVENT Dementia Research Programme	PREVENT-dementia	[clinical, genetics, imaging] Clinical; Genetic - GWAS; Imaging - MRI	Alzheimer's Disease; dementia; controls	700 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA40/prevent-dementia-research-programme	Good FAIR compliance with structured multi-modal data integration across clinical, GWAS genetics, and MRI imaging modalities supporting interoperability, though accessibility status requires clarification to achieve full FAIR principles implementation.	Multi-study	January 2026
Whole-blood RNA-seq data derived from C9orf72+ FTD spectrum cases and controls		[genetics, transcriptomics] Transcriptomics; genetics; transposable elements	Frontotemporal Dementia; controls; dementia; mild cognitive impairment	114 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/DA46/whole-blood-rna-seq-data-derived-from-c9orf72-ftd-spectrum-cases-and-controls	Good FAIR compliance with structured transcriptomic data from a well-defined patient cohort (C9orf72+ FTD spectrum), though findability and accessibility would be strengthened by clarifying data repository location, assigning a persistent identifier (DOI), and specifying clear access protocols or restrictions for this sensitive human genomic dataset.	Human	January 2026
Multimodal Preventive Trial for Alzheimer's Disease	MindADmini	[clinical, longitudinal] Clinical; lifestyle; clinical trial data	Alzheimer's Disease; prodromal	93 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/DA65/mindadmini	Good FAIR compliance with clinical modality data clearly specified, though accessibility status requires clarification to fully meet the Accessible principle of FAIR standards.	Multi-study	January 2026
Brain long read sequencing	CARD-longread	[genetics] Genetic - NGS; long read sequencing; biosamples	controls	17 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/DA66/brain-long-read-sequencing	Good FAIR compliance with genetic NGS long-read sequencing data following structured formats and standardized genomic metadata schemas, though accessibility terms require clarification to ensure full reusability.	Human	January 2026
Effect of Passive Immunization on the Progression of Mild Alzheimer's Disease: Solanezumab (LY2062430)	Solanezumab	[clinical, longitudinal, proteomics] Clinical, Longitudinal, Biomarker, Proteomics, clinical trial data	Alzheimer's disease; Mild cognitive developement	2129 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clinical trial data likely registered in ClinicalTrials.gov using standardized medical terminologies and structured outcome measures, though accessibility status is uncertain which may limit reusability for secondary analyses.	Human	January 2026
Cognitive Function in Ageing Study II	CFAS II	[clinical, longitudinal] Clinical; Lifestyle; Longitudinal; Quality of Life; Other	Dementia; Controls	7524 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clearly defined clinical quality of life and other health modalities enabling domain-specific reusability, though accessibility could be enhanced through explicit data access protocols and standardized metadata documentation to improve findability and interoperability across aging research repositories.	Human	January 2026
Environmental Pollution-Induced Neurological Effects study	EPINEF	[clinical] Clinical; Other; Envitonment	Dementia; Prodromal; Controls; Biosamples	7524 participants	http://discover.alzheimersdata.org/	Good FAIR compliance with clinical data from the Environmental Pollution-Induced Neurological Effects (EPINEF) study that likely includes structured neurological assessments and pollution exposure measurements, though accessibility needs clarification through proper metadata documentation and establishment of clear data access protocols to enhance reusability.	Human	January 2026
Neuroimaging of Inflammation in MemoRy and Other Disorders (the NIMROD Study)	NIMROD	[clinical] Quality of Life; Other	Dementia; Alzheimer's Disease; Frontotemporal Dementia; Lewy Body Dementia; Mild Cognitive Impairment	7524 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance with clear dataset identification through a descriptive acronym (NIMROD Study) and well-defined scope covering neuroimaging and clinical quality of life measurements in memory disorders, though accessibility information and metadata standards require clarification to achieve full interoperability and reusability.	Human	January 2026
Brain & Body Donation Program	BBDP	[clinical, genetics, transcriptomics] Clinical assessments; Neuropathological assessments; Genomics; Postmortem brain tissue; Body tissue samples; Frozen and fixed specimens	Alzheimer's Disease; Parkinson's Disease; Dementia with Lewy Bodies; Multiple System Atrophy; Progressive Supranuclear Palsy; Corticobasal Degeneration; Frontotemporal Dementia; Vascular Dementia; Normal Aging Controls	1077 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance through Alzheimer's Disease Data Initiative (ADDI) platform with standardized clinical and genomic data collection protocols, comprehensive neuropathological assessments, and formal data access procedures. The program follows rigorous standardized protocols for tissue collection (2.75-hour median postmortem interval) and prospective clinical assessments, ensuring high data quality and reusability for the research community.	Human	January 2026
APOE in the Predisposition to, Protection from, and Prevention of Alzheimer's Disease		[clinical, genomics] Clinical assessments; Cognitive assessment; Brain imaging; Fluid biomarkers; Genetic data; APOE genotyping	Alzheimer's Disease; Mild Cognitive Impairment; Cognitively Normal Controls	315 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance with mandatory data sharing through the Alzheimer's Disease Data Initiative (ADDI) platform, comprehensive longitudinal data collection across genetic, cognitive, imaging, and biomarker modalities with standardized measurements of amyloid-β and tau pathophysiology, neurodegeneration markers, and inflammation biomarkers, enabling broad research accessibility and reusability across the Alzheimer's research community.	Human	January 2026
Washington University Knight Alzheimer Disease Research Center Memory and Aging Project Phenotypic and Proteomic Data	WashU Knight ADRC MAP	[clinical, proteomics] Clinical phenotyping; Cognitive assessments; Demographics; Cerebrospinal fluid proteomics; Plasma proteomics; APOE genotyping; Biomarkers	Alzheimer's Disease; Dementia; Frontotemporal Dementia; Lewy Body Dementia; Parkinson's Disease	3150 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance. This dataset is accessible through the Alzheimer's Disease Data Initiative (ADDI) platform at discover.alzheimersdata.org, which enforces mandatory open science policies and rapid data sharing. The dataset features comprehensive standardized metadata including longitudinal clinical phenotypes, deeply characterized molecular profiles (proteomics), and standardized biomarker data (APOE genotyping). As part of the NIA-funded Knight-ADRC Memory and Aging Project, data follows rigorous standardized collection protocols with detailed documentation. Integration with GNPC (Neurogenomics and Informatics Center) ensures harmonization with community data standards across multiple omics modalities.	Human	January 2026
Indiana Alzheimer's Disease Research Center - Proteomics Minimal Dataset	Indiana ADRC Proteomics MDS	[clinical, proteomics] Clinical assessments; Cognitive assessments; Plasma proteomics; NACC Uniform Dataset V3	Alzheimer's Disease; Dementia; Mild Cognitive Impairment; Cognitively Unimpaired Controls	549 participants	https://medicine.iu.edu/research-centers/alzheimers/for-researchers	Strong FAIR compliance with standardized data collection using NACC Uniform Dataset V3 protocols, well-documented metadata linking clinical and proteomics data via standardized identifiers (SUBID, UDSVISITNUM), participation in Global Neurodegeneration Proteomics Consortium (GNPC) ensuring interoperability, and formal local data access procedures, though findability and accessibility are limited by restricted access requiring institutional approval.	Human	January 2026
ALLFTD: ARTFL-LEFFTDS Longitudinal FrontoTemporal Dementia Study	ALLFTD	[clinical, imaging, proteomics] Clinical assessments; Neuropsychological testing; MR imaging; Proteomics; Cerebrospinal fluid biomarkers; Plasma biomarkers	Frontotemporal Dementia (FTD); Behavioral variant FTD (bvFTD); Frontotemporal Lobar Degeneration (FTLD); Genetic FTD (C9orf72, GRN, MAPT); Healthy Controls	802 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance: The ALLFTD dataset is accessible through the Alzheimer's Disease Data Initiative (ADDI) platform at discover.alzheimersdata.org, ensuring high findability and standardized access protocols. The study features comprehensive longitudinal multi-modal data integration (clinical, neuropsychological, imaging, proteomics from CSF and plasma), standardized data collection protocols across multiple academic centers, and clear provenance documentation. The dataset is registered on ClinicalTrials.gov with persistent identifiers (NCT02365922, NCT02372773), has well-documented metadata schemas through NACC standards, and supports controlled access with formal data use agreements while promoting open science principles for FTD research.	Human	January 2026
Barcelonaβeta Brain Research Center Alfa Plus cohort for Global Neuropathology and Proteomics Consortium	BBRC Alfa+ GNPC	[longitudinal] Clinical assessments; APOE genotyping; Proteomics; DNA samples; Serum biomarkers	Alzheimer's Disease; Cognitively Unimpaired	443 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance as part of the alzheimersdata.org platform with standardized data collection protocols, comprehensive metadata including longitudinal timepoints (3 timepoints with 381 completing all visits), harmonized proteomics data integrated with GNPC consortium standards, and structured clinical, genetic (APOE), and biomarker data enabling cross-cohort analysis and reusability.	Human	January 2026
Dementia Research Group 10/66 Population-Based Research Programme - Prevalence Database	10/66 Study	[clinical] Demographics; Cognitive assessments; Neurological examinations; Physical examinations; Clinical interviews; Informant questionnaires; Caregiver burden measures; Lifestyle risk factors; Non-communicable disease assessments; MCI diagnosis; Dementia diagnosis	Dementia; Mild Cognitive Impairment; Alzheimer's Disease; Vascular Dementia; Depression; Cardiovascular Disease; Stroke; Diabetes; Hypertension	14896 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/DA61/10-66	Excellent FAIR compliance. Data accessible through AD Data Initiative platform (addi) with comprehensive standardized metadata. Study uses validated and standardized 10/66 DRG protocols across all sites with uniform training. Extensive documentation available through published cohort and protocol papers. Structured clinical data enables cross-population prevalence and incidence comparisons across Latin American countries. Findable through multiple publications with clear DOIs. Accessible through managed access model via ADDI platform. Interoperable with harmonized assessments and standardized protocols. Reusable with clear consent frameworks and comprehensive documentation.	Human	January 2026
Baltimore Longitudinal Study of Aging Permissioned Data	BLSA	[clinical] Cognitive assessments; Physical examinations; Laboratory tests; Neuropsychological testing; Cardiovascular measures; Body composition data; Questionnaires and surveys	Alzheimer's Disease; Dementia; Normal Aging	3472 participants	https://www.blsa.nih.gov/how-apply	Strong FAIR compliance with well-documented longitudinal data collection protocols, standardized metadata schemas through BLSA Meta-Encyclopedia, formal data access procedures requiring approved proposals and Data Use Agreements, and adherence to NIH data sharing standards. Data is findable through multiple NIH resources and the ADDI platform, with comprehensive documentation and data dictionaries provided. Interoperability supported through standard clinical data formats and standardized terminologies. Access is controlled but follows clear, standardized request processes with dedicated support team.	Human	January 2026
The GERAS II Study: Global Evaluation Research of Alzheimer's Disease and Senility Study II	GERAS-II	[clinical] ADAS-COG questionnaire; ADCS-ADL questionnaire; MMSE questionnaire; NPI questionnaire; EQ-5D questionnaire; ZBI-22 questionnaire; RUD questionnaire; Demographics and clinical characteristics; Current medication; Cognitive assessments; Functional assessments; Behavioural assessments; Patient and caregiver health-related quality of life; Patient and caregiver resource use; Medical costs	Alzheimer's Disease	578 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA35/the-geras-ii-study	Excellent FAIR compliance. The study is hosted on the ADDI (Alzheimer's Disease Data Initiative) platform, which implements mandatory open science policies and standardized data sharing protocols. The dataset includes comprehensive clinical assessments with well-documented questionnaire-based measures (ADAS-COG, ADCS-ADL, MMSE, NPI, EQ-5D, ZBI-22, RUD). The study features detailed metadata documentation including demographics, clinical characteristics, resource utilization, and cost data. Data accessibility is facilitated through the ADDI community platform with local data access procedures. The study is part of a larger GERAS consortium with companion studies across multiple regions (EU, Japan, US), demonstrating standardized data collection protocols and interoperability. Published baseline manuscripts provide additional validation and documentation of methodology.	Human	January 2026
The GERAS Study - European Union (Gradient of Care and Resource Use in Alzheimer's Disease in Europe)	GERAS-EU	[longitudinal, clinical] Clinical assessments; MMSE questionnaire; ADAS-COG questionnaire; ADCS-ADL questionnaire; NPI questionnaire; EQ-5D questionnaire; ZBI-22 questionnaire; RUD questionnaire; Sociodemographic data; Comorbidities; Medications; Health-related quality of life; Resource utilization; Medical costs	Alzheimer's Disease	1497 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA33/the-geras-study---eu	Excellent FAIR compliance. Dataset is hosted on the ADDI platform with structured longitudinal clinical data collection protocols. The study utilized standardized assessment instruments (MMSE, ADAS-COG, ADCS-ADL, NPI, EQ-5D, ZBI-22, RUD) enabling interoperability and reproducibility. Comprehensive metadata documentation includes inclusion/exclusion criteria, assessment schedules, and data collection procedures. Published baseline and 18-month manuscripts provide detailed methodology. Multi-country standardized protocols (France, Germany, UK) ensure consistency. Data is accessible through formal ADDI request procedures with clear documentation.	Human	January 2026
The GERAS Study - US (Group for the Evaluation of Real-world evidence in Alzheimer's disease and other dementias Study - United States)	GERAS-US	[longitudinal, clinical] Clinical assessments; ADAS-COG questionnaire; ADCS-ADL questionnaire; MMSE questionnaire; NPI questionnaire; EQ-5D questionnaire; ZBI-22 questionnaire; RUD questionnaire; Demographics; Medication records; Resource utilization; Quality of life measures; Amyloid biomarkers; Comorbidities	Alzheimer's Disease; Mild Cognitive Impairment	1198 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA36/the-geras-study---us	Excellent FAIR compliance: Data shared through ADDI platform ensuring findability and accessibility; comprehensive longitudinal clinical data collection (baseline, 18-month, and 3-year follow-up); well-documented study protocol with standardized assessment instruments (MMSE, ADAS-COG, ADCS-ADL, NPI, EQ-5D, ZBI-22, RUD); clear participant stratification by amyloid status and disease stage; detailed metadata including demographics, clinical characteristics, and resource utilization; interoperability supported through GAAIN platform integration; published methodology available; data reusable for cost-effectiveness and real-world evidence research.	Human	January 2026
GERAS Cohorts: Harmonized	GERAS	[clinical] Harmonized clinical variables; Longitudinal assessments	Alzheimer's Disease	4328 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance with harmonized clinical data from four GERAS cohorts made available through AD Workbench, featuring standardized variable naming and units to support interoperability, comprehensive documentation of harmonization methodology, and accessibility through the Alzheimer's data discovery platform enabling data reuse across multiple cohort studies.	Multi-study	January 2026
Blood based 12-miRNA signature of Alzheimer patients	GSE46579	[transcriptomics] microRNA expression profiling; Next-Generation Sequencing; qRT-PCR validation; Blood serum samples	Alzheimer's Disease; Multiple Sclerosis; Parkinson's Disease; Major Depression; Bipolar Disorder; Schizophrenia; Mild Cognitive Impairment; Normal Controls	202 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA3/a-blood-based-12-mirna-signature-of-alzheimer-patients---gse46579	Excellent FAIR compliance with mandatory open science policies through ADDI platform integration and public GEO repository (GSE46579), enabling rapid data sharing through multiple platforms (NCBI GEO, SRA SRP022043), comprehensive standardized metadata including GPL11154 platform specifications, detailed sample characteristics, experimental protocols, NGS and qRT-PCR methodologies, standard data formats (SOFT, MINiML), and persistent identifiers ensuring high findability, accessibility, interoperability, and reusability.	Human	January 2026
